TABLE_NAME,COLUMN_NAME
AMGP,AbsEntry
AMGP,MatGrp
AMGP,Descrip
AMGP,LogInstanc
AMGP,UserSign2
AMGP,UpdateDate
INV6,DocEntry
INV6,InstlmntID
INV6,ObjType
INV6,LogInstanc
INV6,DueDate
INV6,Status
INV6,DunnLevel
INV6,InsTotal
INV6,InsTotalFC
INV6,InsTotalSy
INV6,PaidToDate
INV6,PaidFC
INV6,PaidSys
INV6,VatSum
INV6,VatSumFC
INV6,VatSumSy
INV6,VatPaid
INV6,VatPaidFC
INV6,VatPaidSys
INV6,TotalExpns
INV6,TotalExpFC
INV6,TotalExpSC
INV6,ExpAppl
INV6,ExpApplFC
INV6,ExpApplSC
INV6,WTSum
INV6,WTSumFC
INV6,WTSumSC
INV6,WTApplied
INV6,WTAppliedF
INV6,WTAppliedS
INV6,TotalBlck
INV6,TotalBlckF
INV6,TotalBlckS
INV6,VATBlck
INV6,VATBlckFC
INV6,VATBlckSC
INV6,ExpnsBlck
INV6,ExpnsBlckF
INV6,ExpnsBlckS
INV6,WTBlocked
INV6,WTBlockedF
INV6,WTBlockedS
